business_id,mpxn,timestamp,total_consumption,boiler,electric_radiator,cooler_freezer,oven,microwave,vrf_system,split_system
1,9876543210,2023-07-02 04:00:00,26.44,10.52,0.84,0.29,4.91,1.26,4.98,3.65
1,9876543210,2023-07-02 05:00:00,11.01,4.38,0.35,0.12,2.04,0.53,2.07,1.52
1,9876543210,2023-07-02 05:30:00,4.53,1.8,0.14,0.05,0.84,0.22,0.85,0.62
1,9876543210,2023-07-02 06:00:00,7.16,2.85,0.23,0.08,1.33,0.34,1.35,0.99
1,9876543210,2023-07-02 06:30:00,6.87,2.73,0.22,0.07,1.28,0.33,1.29,0.95
1,9876543210,2023-07-02 07:00:00,4.71,1.87,0.15,0.05,0.87,0.22,0.89,0.65
1,9876543210,2023-07-02 07:30:00,7.66,3.05,0.24,0.08,1.42,0.37,1.44,1.06
1,9876543210,2023-07-02 08:00:00,7.02,2.79,0.22,0.08,1.3,0.34,1.32,0.97
1,9876543210,2023-07-02 08:30:00,6.54,2.6,0.21,0.07,1.21,0.31,1.23,0.9
1,9876543210,2023-07-02 09:00:00,8.18,3.25,0.26,0.09,1.52,0.39,1.54,1.13
1,9876543210,2023-07-02 09:30:00,6.12,2.43,0.19,0.07,1.14,0.29,1.15,0.84
1,9876543210,2023-07-02 10:00:00,4.76,1.89,0.15,0.05,0.88,0.23,0.9,0.66
1,9876543210,2023-07-02 11:00:00,17.81,7.08,0.57,0.19,3.31,0.85,3.35,2.46
1,9876543210,2023-07-02 11:30:00,17.4,6.92,0.55,0.19,3.23,0.83,3.28,2.4
1,9876543210,2023-07-02 12:00:00,18.71,7.44,0.6,0.2,3.47,0.89,3.52,2.58
1,9876543210,2023-07-02 12:30:00,17.35,6.9,0.55,0.19,3.22,0.83,3.27,2.39
1,9876543210,2023-07-02 13:00:00,21.88,8.7,0.7,0.24,4.06,1.04,4.12,3.02
1,9876543210,2023-07-02 14:00:00,22.5,8.95,0.72,0.24,4.18,1.07,4.24,3.1
1,9876543210,2023-07-02 14:30:00,20.75,8.25,0.66,0.22,3.85,0.99,3.91,2.86
1,9876543210,2023-07-02 15:00:00,15.7,6.25,0.5,0.17,2.91,0.75,2.96,2.17
1,9876543210,2023-07-02 15:30:00,20.5,8.15,0.65,0.22,3.81,0.98,3.86,2.83
1,9876543210,2023-07-02 16:00:00,18.11,7.2,0.58,0.2,3.36,0.86,3.41,2.5
1,9876543210,2023-07-02 17:00:00,17.33,6.89,0.55,0.19,3.22,0.83,3.26,2.39
1,9876543210,2023-07-02 17:30:00,18.01,7.16,0.57,0.19,3.34,0.86,3.39,2.48
1,9876543210,2023-07-02 18:00:00,22.31,8.88,0.71,0.24,4.14,1.07,4.2,3.08
1,9876543210,2023-07-02 18:30:00,16.29,6.48,0.52,0.18,3.02,0.78,3.07,2.25
1,9876543210,2023-07-02 19:00:00,20.42,8.12,0.65,0.22,3.79,0.97,3.84,2.82
1,9876543210,2023-07-02 19:30:00,18.35,7.3,0.58,0.2,3.41,0.88,3.46,2.53
1,9876543210,2023-07-02 20:00:00,20.48,8.15,0.65,0.22,3.8,0.98,3.86,2.82
1,9876543210,2023-07-02 20:30:00,19.02,7.57,0.61,0.21,3.53,0.91,3.58,2.62
1,9876543210,2023-07-02 21:00:00,18.26,7.26,0.58,0.2,3.39,0.87,3.44,2.52
1,9876543210,2023-07-02 22:00:00,10.39,4.13,0.33,0.11,1.93,0.5,1.96,1.43
1,9876543210,2023-07-02 22:30:00,8.4,3.34,0.27,0.09,1.56,0.4,1.58,1.16
1,9876543210,2023-07-02 23:00:00,7.69,3.06,0.24,0.08,1.43,0.37,1.45,1.06
1,9876543210,2023-07-03 00:00:00,29.98,11.93,0.95,0.32,5.57,1.43,5.65,4.13
1,9876543210,2023-07-03 00:30:00,28.98,11.53,0.92,0.31,5.38,1.38,5.46,4.0
1,9876543210,2023-07-03 01:00:00,28.06,11.16,0.89,0.3,5.21,1.34,5.28,3.87
1,9876543210,2023-07-03 01:30:00,33.68,13.4,1.07,0.36,6.25,1.61,6.34,4.64
1,9876543210,2023-07-03 02:00:00,29.17,11.6,0.93,0.31,5.42,1.39,5.49,4.02
1,9876543210,2023-07-03 02:30:00,32.5,12.93,1.03,0.35,6.03,1.55,6.12,4.48
1,9876543210,2023-07-03 03:00:00,32.97,13.12,1.05,0.36,6.12,1.57,6.21,4.55
1,9876543210,2023-07-03 03:30:00,31.93,12.7,1.02,0.34,5.93,1.52,6.01,4.4
1,9876543210,2023-07-03 04:00:00,29.76,11.84,0.95,0.32,5.52,1.42,5.6,4.1
1,9876543210,2023-07-03 05:00:00,5.04,2.0,0.16,0.05,0.94,0.24,0.95,0.7
1,9876543210,2023-07-03 05:30:00,4.51,1.79,0.14,0.05,0.84,0.22,0.85,0.62
1,9876543210,2023-07-03 06:00:00,4.25,1.69,0.14,0.05,0.79,0.2,0.8,0.59
1,9876543210,2023-07-03 06:30:00,11.01,4.38,0.35,0.12,2.04,0.53,2.07,1.52
1,9876543210,2023-07-03 07:00:00,6.0,2.39,0.19,0.06,1.11,0.29,1.13,0.83
1,9876543210,2023-07-03 07:30:00,9.1,3.62,0.29,0.1,1.69,0.43,1.71,1.25
1,9876543210,2023-07-03 08:00:00,8.97,3.57,0.29,0.1,1.67,0.43,1.69,1.24
1,9876543210,2023-07-03 08:30:00,9.37,3.73,0.3,0.1,1.74,0.45,1.76,1.29
1,9876543210,2023-07-03 09:00:00,9.45,3.76,0.3,0.1,1.75,0.45,1.78,1.3
1,9876543210,2023-07-03 09:30:00,10.22,4.07,0.33,0.11,1.9,0.49,1.92,1.41
1,9876543210,2023-07-03 10:00:00,11.31,4.5,0.36,0.12,2.1,0.54,2.13,1.56
1,9876543210,2023-07-03 11:00:00,20.83,8.29,0.66,0.22,3.87,0.99,3.92,2.87
1,9876543210,2023-07-03 11:30:00,17.49,6.96,0.56,0.19,3.25,0.83,3.29,2.41
1,9876543210,2023-07-03 12:00:00,15.27,6.07,0.49,0.16,2.83,0.73,2.88,2.11
1,9876543210,2023-07-03 12:30:00,16.71,6.65,0.53,0.18,3.1,0.8,3.15,2.3
1,9876543210,2023-07-03 13:00:00,17.08,6.79,0.54,0.18,3.17,0.82,3.22,2.36
1,9876543210,2023-07-03 14:00:00,4.04,1.61,0.13,0.04,0.75,0.19,0.76,0.56
1,9876543210,2023-07-03 14:30:00,5.21,2.07,0.17,0.06,0.97,0.25,0.98,0.72
1,9876543210,2023-07-03 15:00:00,4.31,1.71,0.14,0.05,0.8,0.21,0.81,0.59
1,9876543210,2023-07-03 15:30:00,10.74,4.27,0.34,0.12,1.99,0.51,2.02,1.48
1,9876543210,2023-07-03 16:00:00,9.23,3.67,0.29,0.1,1.71,0.44,1.74,1.27
1,9876543210,2023-07-03 17:00:00,17.14,6.82,0.55,0.19,3.18,0.82,3.23,2.36
1,9876543210,2023-07-03 17:30:00,20.55,8.17,0.65,0.22,3.81,0.98,3.87,2.83
1,9876543210,2023-07-03 18:00:00,16.33,6.5,0.52,0.18,3.03,0.78,3.07,2.25
1,9876543210,2023-07-03 18:30:00,15.16,6.03,0.48,0.16,2.81,0.72,2.85,2.09
1,9876543210,2023-07-03 19:00:00,21.03,8.37,0.67,0.23,3.9,1.0,3.96,2.9
1,9876543210,2023-07-03 19:30:00,20.0,7.96,0.64,0.22,3.71,0.95,3.77,2.76
1,9876543210,2023-07-03 20:00:00,18.63,7.41,0.59,0.2,3.46,0.89,3.51,2.57
1,9876543210,2023-07-03 20:30:00,18.21,7.24,0.58,0.2,3.38,0.87,3.43,2.51
1,9876543210,2023-07-03 21:00:00,17.88,7.11,0.57,0.19,3.32,0.85,3.37,2.47
1,9876543210,2023-07-03 22:00:00,4.46,1.77,0.14,0.05,0.83,0.21,0.84,0.62
1,9876543210,2023-07-03 22:30:00,5.82,2.32,0.19,0.06,1.08,0.28,1.1,0.8
1,9876543210,2023-07-03 23:00:00,11.06,4.4,0.35,0.12,2.05,0.53,2.08,1.53
1,9876543210,2023-07-04 00:00:00,28.85,11.48,0.92,0.31,5.36,1.38,5.43,3.98
1,9876543210,2023-07-04 00:30:00,28.73,11.43,0.91,0.31,5.33,1.37,5.41,3.96
1,9876543210,2023-07-04 01:00:00,33.5,13.33,1.07,0.36,6.22,1.6,6.31,4.62
1,9876543210,2023-07-04 01:30:00,26.71,10.63,0.85,0.29,4.96,1.28,5.03,3.68
1,9876543210,2023-07-04 02:00:00,33.47,13.31,1.07,0.36,6.21,1.6,6.3,4.62
1,9876543210,2023-07-04 02:30:00,27.71,11.02,0.88,0.3,5.14,1.32,5.22,3.82
1,9876543210,2023-07-04 03:00:00,28.41,11.3,0.9,0.31,5.27,1.36,5.35,3.92
1,9876543210,2023-07-04 03:30:00,28.29,11.25,0.9,0.31,5.25,1.35,5.33,3.9
1,9876543210,2023-07-04 04:00:00,30.92,12.3,0.98,0.33,5.74,1.48,5.82,4.26
1,9876543210,2023-07-04 05:00:00,9.77,3.89,0.31,0.11,1.81,0.47,1.84,1.35
1,9876543210,2023-07-04 05:30:00,11.2,4.46,0.36,0.12,2.08,0.53,2.11,1.54
1,9876543210,2023-07-04 06:00:00,8.99,3.58,0.29,0.1,1.67,0.43,1.69,1.24
1,9876543210,2023-07-04 06:30:00,5.33,2.12,0.17,0.06,0.99,0.25,1.0,0.74
1,9876543210,2023-07-04 07:00:00,7.4,2.94,0.24,0.08,1.37,0.35,1.39,1.02
1,9876543210,2023-07-04 07:30:00,5.91,2.35,0.19,0.06,1.1,0.28,1.11,0.82
1,9876543210,2023-07-04 08:00:00,8.41,3.35,0.27,0.09,1.56,0.4,1.58,1.16
1,9876543210,2023-07-04 08:30:00,8.96,3.56,0.29,0.1,1.66,0.43,1.69,1.24
1,9876543210,2023-07-04 09:00:00,5.14,2.04,0.16,0.06,0.95,0.25,0.97,0.71
1,9876543210,2023-07-04 09:30:00,7.21,2.87,0.23,0.08,1.34,0.34,1.36,0.99
1,9876543210,2023-07-04 10:00:00,11.16,4.44,0.36,0.12,2.07,0.53,2.1,1.54
1,9876543210,2023-07-04 11:00:00,22.39,8.91,0.71,0.24,4.16,1.07,4.22,3.09
1,9876543210,2023-07-04 11:30:00,19.84,7.89,0.63,0.21,3.68,0.95,3.74,2.74
1,9876543210,2023-07-04 12:00:00,15.42,6.13,0.49,0.17,2.86,0.74,2.9,2.13
1,9876543210,2023-07-04 12:30:00,17.63,7.01,0.56,0.19,3.27,0.84,3.32,2.43
1,9876543210,2023-07-04 13:00:00,22.29,8.87,0.71,0.24,4.14,1.06,4.2,3.07
1,9876543210,2023-07-04 14:00:00,6.68,2.66,0.21,0.07,1.24,0.32,1.26,0.92
1,9876543210,2023-07-04 14:30:00,6.51,2.59,0.21,0.07,1.21,0.31,1.23,0.9
1,9876543210,2023-07-04 15:00:00,7.6,3.02,0.24,0.08,1.41,0.36,1.43,1.05
1,9876543210,2023-07-04 15:30:00,10.77,4.28,0.34,0.12,2.0,0.51,2.03,1.49
1,9876543210,2023-07-04 16:00:00,5.76,2.29,0.18,0.06,1.07,0.27,1.08,0.79
1,9876543210,2023-07-04 17:00:00,15.46,6.15,0.49,0.17,2.87,0.74,2.91,2.13
1,9876543210,2023-07-04 17:30:00,18.47,7.35,0.59,0.2,3.43,0.88,3.48,2.55
1,9876543210,2023-07-04 18:00:00,22.14,8.81,0.7,0.24,4.11,1.06,4.17,3.05
1,9876543210,2023-07-04 18:30:00,21.59,8.59,0.69,0.23,4.01,1.03,4.07,2.98
1,9876543210,2023-07-04 19:00:00,18.67,7.43,0.59,0.2,3.47,0.89,3.52,2.57
1,9876543210,2023-07-04 19:30:00,20.64,8.21,0.66,0.22,3.83,0.99,3.89,2.85
1,9876543210,2023-07-04 20:00:00,18.31,7.28,0.58,0.2,3.4,0.87,3.45,2.53
1,9876543210,2023-07-04 20:30:00,20.79,8.27,0.66,0.22,3.86,0.99,3.91,2.87
1,9876543210,2023-07-04 21:00:00,16.57,6.59,0.53,0.18,3.08,0.79,3.12,2.29
1,9876543210,2023-07-04 22:00:00,9.54,3.8,0.3,0.1,1.77,0.46,1.8,1.32
1,9876543210,2023-07-04 22:30:00,6.21,2.47,0.2,0.07,1.15,0.3,1.17,0.86
1,9876543210,2023-07-04 23:00:00,9.76,3.88,0.31,0.11,1.81,0.47,1.84,1.35
1,9876543210,2023-07-05 00:00:00,31.92,12.7,1.02,0.34,5.93,1.52,6.01,4.4
1,9876543210,2023-07-05 00:30:00,31.93,12.7,1.02,0.34,5.93,1.52,6.01,4.4
1,9876543210,2023-07-05 01:00:00,33.58,13.36,1.07,0.36,6.23,1.6,6.32,4.63
1,9876543210,2023-07-05 01:30:00,26.69,10.62,0.85,0.29,4.95,1.27,5.03,3.68
1,9876543210,2023-07-05 02:00:00,30.66,12.2,0.98,0.33,5.69,1.46,5.77,4.23
1,9876543210,2023-07-05 02:30:00,27.99,11.13,0.89,0.3,5.2,1.34,5.27,3.86
1,9876543210,2023-07-05 03:00:00,32.22,12.82,1.03,0.35,5.98,1.54,6.07,4.44
1,9876543210,2023-07-05 03:30:00,30.06,11.96,0.96,0.32,5.58,1.43,5.66,4.15
1,9876543210,2023-07-05 04:00:00,33.32,13.25,1.06,0.36,6.19,1.59,6.27,4.6
1,9876543210,2023-07-05 05:00:00,8.66,3.44,0.28,0.09,1.61,0.41,1.63,1.19
1,9876543210,2023-07-05 05:30:00,5.61,2.23,0.18,0.06,1.04,0.27,1.06,0.77
1,9876543210,2023-07-05 06:00:00,9.09,3.62,0.29,0.1,1.69,0.43,1.71,1.25
1,9876543210,2023-07-05 06:30:00,4.4,1.75,0.14,0.05,0.82,0.21,0.83,0.61
1,9876543210,2023-07-05 07:00:00,4.21,1.67,0.13,0.05,0.78,0.2,0.79,0.58
1,9876543210,2023-07-05 07:30:00,7.59,3.02,0.24,0.08,1.41,0.36,1.43,1.05
1,9876543210,2023-07-05 08:00:00,4.4,1.75,0.14,0.05,0.82,0.21,0.83,0.61
1,9876543210,2023-07-05 08:30:00,4.54,1.81,0.14,0.05,0.84,0.22,0.85,0.63
1,9876543210,2023-07-05 09:00:00,10.22,4.07,0.33,0.11,1.9,0.49,1.92,1.41
1,9876543210,2023-07-05 09:30:00,7.15,2.84,0.23,0.08,1.33,0.34,1.35,0.99
1,9876543210,2023-07-05 10:00:00,5.0,1.99,0.16,0.05,0.93,0.24,0.94,0.69
1,9876543210,2023-07-05 11:00:00,18.58,7.39,0.59,0.2,3.45,0.89,3.5,2.56
1,9876543210,2023-07-05 11:30:00,16.39,6.52,0.52,0.18,3.04,0.78,3.09,2.26
1,9876543210,2023-07-05 12:00:00,17.5,6.96,0.56,0.19,3.25,0.84,3.3,2.41
1,9876543210,2023-07-05 12:30:00,16.38,6.52,0.52,0.18,3.04,0.78,3.08,2.26
1,9876543210,2023-07-05 13:00:00,22.3,8.87,0.71,0.24,4.14,1.06,4.2,3.08
1,9876543210,2023-07-05 14:00:00,7.59,3.02,0.24,0.08,1.41,0.36,1.43,1.05
1,9876543210,2023-07-05 14:30:00,5.37,2.14,0.17,0.06,1.0,0.26,1.01,0.74
1,9876543210,2023-07-05 15:00:00,10.31,4.1,0.33,0.11,1.91,0.49,1.94,1.42
1,9876543210,2023-07-05 15:30:00,4.18,1.66,0.13,0.05,0.78,0.2,0.79,0.58
1,9876543210,2023-07-05 16:00:00,9.71,3.86,0.31,0.1,1.8,0.46,1.83,1.34
1,9876543210,2023-07-05 17:00:00,21.42,8.52,0.68,0.23,3.98,1.02,4.03,2.95
1,9876543210,2023-07-05 17:30:00,18.65,7.42,0.59,0.2,3.46,0.89,3.51,2.57
1,9876543210,2023-07-05 18:00:00,17.65,7.02,0.56,0.19,3.28,0.84,3.32,2.43
1,9876543210,2023-07-05 18:30:00,21.86,8.7,0.7,0.24,4.06,1.04,4.12,3.01
1,9876543210,2023-07-05 19:00:00,16.98,6.75,0.54,0.18,3.15,0.81,3.2,2.34
1,9876543210,2023-07-05 19:30:00,19.13,7.61,0.61,0.21,3.55,0.91,3.6,2.64
1,9876543210,2023-07-05 20:00:00,20.55,8.17,0.65,0.22,3.81,0.98,3.87,2.83
1,9876543210,2023-07-05 20:30:00,15.62,6.21,0.5,0.17,2.9,0.75,2.94,2.15
1,9876543210,2023-07-05 21:00:00,16.82,6.69,0.54,0.18,3.12,0.8,3.17,2.32
1,9876543210,2023-07-05 22:00:00,4.95,1.97,0.16,0.05,0.92,0.24,0.93,0.68
1,9876543210,2023-07-05 22:30:00,6.2,2.47,0.2,0.07,1.15,0.3,1.17,0.86
1,9876543210,2023-07-05 23:00:00,5.41,2.15,0.17,0.06,1.0,0.26,1.02,0.75
1,9876543210,2023-07-06 00:00:00,28.35,11.28,0.9,0.31,5.26,1.35,5.34,3.91
1,9876543210,2023-07-06 00:30:00,30.03,11.95,0.96,0.32,5.57,1.43,5.65,4.14
1,9876543210,2023-07-06 01:00:00,29.67,11.8,0.94,0.32,5.51,1.42,5.59,4.09
1,9876543210,2023-07-06 01:30:00,33.71,13.41,1.07,0.36,6.26,1.61,6.35,4.65
1,9876543210,2023-07-06 02:00:00,32.26,12.83,1.03,0.35,5.99,1.54,6.07,4.45
1,9876543210,2023-07-06 02:30:00,32.63,12.98,1.04,0.35,6.06,1.56,6.14,4.5
1,9876543210,2023-07-06 03:00:00,28.1,11.18,0.89,0.3,5.22,1.34,5.29,3.88
1,9876543210,2023-07-06 03:30:00,33.06,13.15,1.05,0.36,6.14,1.58,6.22,4.56
1,9876543210,2023-07-06 04:00:00,28.69,11.41,0.91,0.31,5.33,1.37,5.4,3.96
1,9876543210,2023-07-06 05:00:00,5.21,2.07,0.17,0.06,0.97,0.25,0.98,0.72
1,9876543210,2023-07-06 05:30:00,9.27,3.69,0.3,0.1,1.72,0.44,1.75,1.28
1,9876543210,2023-07-06 06:00:00,10.67,4.24,0.34,0.12,1.98,0.51,2.01,1.47
1,9876543210,2023-07-06 06:30:00,9.95,3.96,0.32,0.11,1.85,0.47,1.87,1.37
1,9876543210,2023-07-06 07:00:00,7.92,3.15,0.25,0.09,1.47,0.38,1.49,1.09
1,9876543210,2023-07-06 07:30:00,4.37,1.74,0.14,0.05,0.81,0.21,0.82,0.6
1,9876543210,2023-07-06 08:00:00,4.8,1.91,0.15,0.05,0.89,0.23,0.9,0.66
1,9876543210,2023-07-06 08:30:00,4.23,1.68,0.13,0.05,0.79,0.2,0.8,0.58
1,9876543210,2023-07-06 09:00:00,9.22,3.67,0.29,0.1,1.71,0.44,1.74,1.27
1,9876543210,2023-07-06 09:30:00,10.95,4.36,0.35,0.12,2.03,0.52,2.06,1.51
1,9876543210,2023-07-06 10:00:00,7.11,2.83,0.23,0.08,1.32,0.34,1.34,0.98
1,9876543210,2023-07-06 11:00:00,21.82,8.68,0.69,0.24,4.05,1.04,4.11,3.01
1,9876543210,2023-07-06 11:30:00,20.53,8.17,0.65,0.22,3.81,0.98,3.87,2.83
1,9876543210,2023-07-06 12:00:00,19.05,7.58,0.61,0.21,3.54,0.91,3.59,2.63
1,9876543210,2023-07-06 12:30:00,15.35,6.11,0.49,0.17,2.85,0.73,2.89,2.12
1,9876543210,2023-07-06 13:00:00,19.69,7.83,0.63,0.21,3.66,0.94,3.71,2.72
1,9876543210,2023-07-06 14:00:00,7.09,2.82,0.23,0.08,1.32,0.34,1.34,0.98
1,9876543210,2023-07-06 14:30:00,4.8,1.91,0.15,0.05,0.89,0.23,0.9,0.66
1,9876543210,2023-07-06 15:00:00,9.24,3.68,0.29,0.1,1.72,0.44,1.74,1.27
1,9876543210,2023-07-06 15:30:00,8.02,3.19,0.26,0.09,1.49,0.38,1.51,1.11
1,9876543210,2023-07-06 16:00:00,9.92,3.95,0.32,0.11,1.84,0.47,1.87,1.37
1,9876543210,2023-07-06 17:00:00,16.94,6.74,0.54,0.18,3.14,0.81,3.19,2.34
1,9876543210,2023-07-06 17:30:00,19.71,7.84,0.63,0.21,3.66,0.94,3.71,2.72
1,9876543210,2023-07-06 18:00:00,21.48,8.54,0.68,0.23,3.99,1.03,4.04,2.96
1,9876543210,2023-07-06 18:30:00,21.03,8.37,0.67,0.23,3.9,1.0,3.96,2.9
1,9876543210,2023-07-06 19:00:00,16.48,6.56,0.52,0.18,3.06,0.79,3.1,2.27
1,9876543210,2023-07-06 19:30:00,20.37,8.1,0.65,0.22,3.78,0.97,3.84,2.81
1,9876543210,2023-07-06 20:00:00,21.17,8.42,0.67,0.23,3.93,1.01,3.99,2.92
1,9876543210,2023-07-06 20:30:00,21.16,8.42,0.67,0.23,3.93,1.01,3.98,2.92
1,9876543210,2023-07-06 21:00:00,18.17,7.23,0.58,0.2,3.37,0.87,3.42,2.51
1,9876543210,2023-07-06 22:00:00,5.66,2.25,0.18,0.06,1.05,0.27,1.07,0.78
1,9876543210,2023-07-06 22:30:00,5.82,2.32,0.19,0.06,1.08,0.28,1.1,0.8
1,9876543210,2023-07-06 23:00:00,5.7,2.27,0.18,0.06,1.06,0.27,1.07,0.79
1,9876543210,2023-07-07 00:00:00,27.43,10.91,0.87,0.3,5.09,1.31,5.16,3.78
1,9876543210,2023-07-07 00:30:00,30.45,12.11,0.97,0.33,5.65,1.45,5.73,4.2
1,9876543210,2023-07-07 01:00:00,32.11,12.77,1.02,0.35,5.96,1.53,6.05,4.43
1,9876543210,2023-07-07 01:30:00,29.47,11.72,0.94,0.32,5.47,1.41,5.55,4.06
1,9876543210,2023-07-07 02:00:00,28.29,11.25,0.9,0.31,5.25,1.35,5.33,3.9
1,9876543210,2023-07-07 02:30:00,30.03,11.95,0.96,0.32,5.57,1.43,5.65,4.14
1,9876543210,2023-07-07 03:00:00,31.41,12.5,1.0,0.34,5.83,1.5,5.91,4.33
1,9876543210,2023-07-07 03:30:00,27.91,11.1,0.89,0.3,5.18,1.33,5.26,3.85
1,9876543210,2023-07-07 04:00:00,27.99,11.13,0.89,0.3,5.2,1.34,5.27,3.86
1,9876543210,2023-07-07 05:00:00,10.99,4.37,0.35,0.12,2.04,0.52,2.07,1.52
1,9876543210,2023-07-07 05:30:00,6.56,2.61,0.21,0.07,1.22,0.31,1.24,0.9
1,9876543210,2023-07-07 06:00:00,10.82,4.3,0.34,0.12,2.01,0.52,2.04,1.49
1,9876543210,2023-07-07 06:30:00,7.03,2.8,0.22,0.08,1.31,0.34,1.32,0.97
1,9876543210,2023-07-07 07:00:00,5.66,2.25,0.18,0.06,1.05,0.27,1.07,0.78
1,9876543210,2023-07-07 07:30:00,6.14,2.44,0.2,0.07,1.14,0.29,1.16,0.85
